Model	Displ	Cyl	Trans	Drive	Fuel	Cert Region	Stnd	Stnd Description	Underhood ID	Veh Class	Air Pollution Score	City MPG	Hwy MPG	Cmb MPG	Greenhouse Gas Score	SmartWay	Comb CO2 
CADILLAC XTS	3.6	6	SemiAuto-6	4WD	Gasoline	CA	L3ULEV125	California LEV-III ULEV125	GGMXV03.6042	large car	6	16	23	18	4	No	486
CADILLAC XTS Limo	3.6	6	SemiAuto-6	2WD	Gasoline	CA	B4	Federal Tier 2 Bin 4	GGMXV03.6167	special purpose	6	15	21	17	3	No	526
CADILLAC XTS Limo	3.6	6	SemiAuto-6	2WD	Gasoline	FA	B4	Federal Tier 2 Bin 4	GGMXV03.6167	special purpose	6	15	21	17	3	No	526
CHEVROLET Camaro	2	4	Man-6	2WD	Gasoline	CA	B4	Federal Tier 2 Bin 4	GGMXV02.0031	small car	6	21	30	24	5	No	368
CHEVROLET Camaro	2	4	Man-6	2WD	Gasoline	FA	B4	Federal Tier 2 Bin 4	GGMXV02.0031	small car	6	21	30	24	5	No	368
CHEVROLET Camaro	2	4	SemiAuto-8	2WD	Gasoline	CA	B4	Federal Tier 2 Bin 4	GGMXV02.0031	small car	6	22	31	25	6	No	350
CHEVROLET Camaro	2	4	SemiAuto-8	2WD	Gasoline	FA	B4	Federal Tier 2 Bin 4	GGMXV02.0031	small car	6	22	31	25	6	No	350
CHEVROLET Camaro	3.6	6	Man-6	2WD	Gasoline	CA	B4	Federal Tier 2 Bin 4	GGMXJ03.6165	small car	6	18	27	21	5	No	421
CHEVROLET Camaro	3.6	6	Man-6	2WD	Gasoline	FA	B4	Federal Tier 2 Bin 4	GGMXJ03.6165	small car	6	18	27	21	5	No	421
CHEVROLET Camaro	3.6	6	SemiAuto-8	2WD	Gasoline	CA	B4	Federal Tier 2 Bin 4	GGMXJ03.6165	small car	6	19	28	23	5	No	393
CHEVROLET Camaro	3.6	6	SemiAuto-8	2WD	Gasoline	FA	B4	Federal Tier 2 Bin 4	GGMXJ03.6165	small car	6	19	28	23	5	No	393
CHEVROLET Camaro	6.2	8	Man-6	2WD	Gasoline	FA	B5	Federal Tier 2 Bin 5	GGMXV06.2090	small car	5	16	25	19	4	No	457
CHEVROLET Camaro	6.2	8	Man-6	2WD	Gasoline	CA	L3LEV160	California LEV-III LEV160	GGMXV06.2090	small car	5	16	25	19	4	No	457
CHEVROLET Camaro	6.2	8	SemiAuto-8	2WD	Gasoline	FA	B5	Federal Tier 2 Bin 5	GGMXV06.2090	small car	5	17	28	20	4	No	437
CHEVROLET Camaro	6.2	8	SemiAuto-8	2WD	Gasoline	CA	L3LEV160	California LEV-III LEV160	GGMXV06.2090	small car	5	17	28	20	4	No	437
CHEVROLET City Express	2	4	CVT	2WD	Gasoline	FA	B5	Federal Tier 2 Bin 5	GNSXT02.0G2A	special purpose	5	24	26	25	6	No	353
CHEVROLET City Express	2	4	CVT	2WD	Gasoline	CA	U2	California LEV-II ULEV	GNSXT02.0G2A	special purpose	6	24	26	25	6	No	353
CHEVROLET Colorado	2.5	4	Auto-6	2WD	Gasoline	CA	B4	Federal Tier 2 Bin 4	GGMXT02.5200	pickup	6	20	27	22	5	No	397
CHEVROLET Colorado	2.5	4	Auto-6	2WD	Gasoline	FA	B4	Federal Tier 2 Bin 4	GGMXT02.5200	pickup	6	20	27	22	5	No	397
CHEVROLET Colorado	2.5	4	Auto-6	4WD	Gasoline	CA	B4	Federal Tier 2 Bin 4	GGMXT02.5200	pickup	6	19	25	21	5	No	426
CHEVROLET Colorado	2.5	4	Auto-6	4WD	Gasoline	FA	B4	Federal Tier 2 Bin 4	GGMXT02.5200	pickup	6	19	25	21	5	No	426
CHEVROLET Colorado	2.5	4	Man-6	2WD	Gasoline	CA	B4	Federal Tier 2 Bin 4	GGMXT02.5200	pickup	6	19	26	22	5	No	406
CHEVROLET Colorado	2.5	4	Man-6	2WD	Gasoline	FA	B4	Federal Tier 2 Bin 4	GGMXT02.5200	pickup	6	19	26	22	5	No	406
CHEVROLET Colorado	2.8	4	Auto-6	2WD	Diesel	FA	B5	Federal Tier 2 Bin 5	GGMXT02.8358	pickup	5	22	31	25	5	No	406
CHEVROLET Colorado	2.8	4	Auto-6	2WD	Diesel	CA	L3ULEV125	California LEV-III ULEV125	GGMXT02.8358	pickup	6	22	31	25	5	No	406
CHEVROLET Colorado	2.8	4	Auto-6	4WD	Diesel	FA	B5	Federal Tier 2 Bin 5	GGMXT02.8358	pickup	5	20	29	23	4	No	445
CHEVROLET Colorado	2.8	4	Auto-6	4WD	Diesel	CA	L3ULEV125	California LEV-III ULEV125	GGMXT02.8358	pickup	6	20	29	23	4	No	445
CHEVROLET Colorado	3.6	6	Auto-6	2WD	Gasoline	CA	B4	Federal Tier 2 Bin 4	GGMXT03.6161	pickup	6	18	26	21	5	No	427
CHEVROLET Colorado	3.6	6	Auto-6	2WD	Gasoline	FA	B4	Federal Tier 2 Bin 4	GGMXT03.6161	pickup	6	18	26	21	5	No	427
CHEVROLET Colorado	3.6	6	Auto-6	2WD	Gasoline	CA	B4	Federal Tier 2 Bin 4	GGMXT03.6162	special purpose	6	15	17	16	3	No	555
CHEVROLET Colorado	3.6	6	Auto-6	2WD	Gasoline	FA	B4	Federal Tier 2 Bin 4	GGMXT03.6162	special purpose	6	15	17	16	3	No	555
CHEVROLET Colorado	3.6	6	Auto-6	4WD	Gasoline	CA	B4	Federal Tier 2 Bin 4	GGMXT03.6161	pickup	6	17	24	20	4	No	450
CHEVROLET Colorado	3.6	6	Auto-6	4WD	Gasoline	FA	B4	Federal Tier 2 Bin 4	GGMXT03.6161	pickup	6	17	24	20	4	No	450
CHEVROLET Corvette	6.2	8	Man-7	2WD	Gasoline	FA	B5	Federal Tier 2 Bin 5	GGMXV06.2090	small car	5	15	22	18	4	No	491
CHEVROLET Corvette	6.2	8	Man-7	2WD	Gasoline	FA	B5	Federal Tier 2 Bin 5	GGMXV06.2090	small car	5	17	29	21	5	No	424
CHEVROLET Corvette	6.2	8	Man-7	2WD	Gasoline	CA	L3LEV160	California LEV-III LEV160	GGMXV06.2090	small car	5	15	22	18	4	No	491
CHEVROLET Corvette	6.2	8	Man-7	2WD	Gasoline	CA	L3LEV160	California LEV-III LEV160	GGMXV06.2090	small car	5	17	29	21	5	No	424
CHEVROLET Corvette	6.2	8	SemiAuto-8	2WD	Gasoline	FA	B5	Federal Tier 2 Bin 5	GGMXV06.2090	small car	5	13	23	16	3	No	539
CHEVROLET Corvette	6.2	8	SemiAuto-8	2WD	Gasoline	FA	B5	Federal Tier 2 Bin 5	GGMXV06.2090	small car	5	16	29	20	4	No	442
CHEVROLET Corvette	6.2	8	SemiAuto-8	2WD	Gasoline	CA	L3LEV160	California LEV-III LEV160	GGMXV06.2090	small car	5	13	23	16	3	No	539
CHEVROLET Corvette	6.2	8	SemiAuto-8	2WD	Gasoline	CA	L3LEV160	California LEV-III LEV160	GGMXV06.2090	small car	5	16	29	20	4	No	442
CHEVROLET Cruze Limited	1.4	4	Man-6	2WD	Gasoline	CA	B4	Federal Tier 2 Bin 4	GGMXV01.4099	midsize car	6	26	38	30	7	Yes	293
CHEVROLET Cruze Limited	1.4	4	Man-6	2WD	Gasoline	FA	B4	Federal Tier 2 Bin 4	GGMXV01.4099	midsize car	6	26	38	30	7	Yes	293
CHEVROLET Cruze Limited	1.4	4	SemiAuto-6	2WD	Gasoline	CA	B4	Federal Tier 2 Bin 4	GGMXV01.4099	midsize car	6	26	38	30	7	Yes	296
CHEVROLET Cruze Limited	1.4	4	SemiAuto-6	2WD	Gasoline	FA	B4	Federal Tier 2 Bin 4	GGMXV01.4099	midsize car	6	26	38	30	7	Yes	296
CHEVROLET Cruze Limited	1.8	4	Man-6	2WD	Gasoline	CA	B4	Federal Tier 2 Bin 4	GGMXV01.8011	midsize car	6	25	36	29	7	Yes	305
CHEVROLET Cruze Limited	1.8	4	Man-6	2WD	Gasoline	FA	B4	Federal Tier 2 Bin 4	GGMXV01.8011	midsize car	6	25	36	29	7	Yes	305
CHEVROLET Cruze Limited	1.8	4	Man-6	2WD	Gasoline	CA	L3SULEV30	California LEV-III SULEV30	GGMXV01.8031	midsize car	8	25	36	29	7	Yes	305
CHEVROLET Cruze Limited	1.8	4	Man-6	2WD	Gasoline	FA	T3B85	Federal Tier 3 Transitional Bin 85	GGMXV01.8031	midsize car	7	25	36	29	7	Yes	305
CHEVROLET Cruze Limited	1.8	4	SemiAuto-6	2WD	Gasoline	CA	B4	Federal Tier 2 Bin 4	GGMXV01.8011	midsize car	6	22	35	27	6	No	333
CHEVROLET Cruze Limited	1.8	4	SemiAuto-6	2WD	Gasoline	FA	B4	Federal Tier 2 Bin 4	GGMXV01.8011	midsize car	6	22	35	27	6	No	333
CHEVROLET Cruze Limited	1.8	4	SemiAuto-6	2WD	Gasoline	CA	L3SULEV30	California LEV-III SULEV30	GGMXV01.8031	midsize car	8	22	35	27	6	No	333
CHEVROLET Cruze Limited	1.8	4	SemiAuto-6	2WD	Gasoline	FA	T3B85	Federal Tier 3 Transitional Bin 85	GGMXV01.8031	midsize car	7	22	35	27	6	No	333
CHEVROLET Cruze Limited Eco	1.4	4	Auto-6	2WD	Gasoline	CA	B4	Federal Tier 2 Bin 4	GGMXV01.4099	midsize car	6	26	39	31	7	Yes	291
CHEVROLET Cruze Limited Eco	1.4	4	Auto-6	2WD	Gasoline	FA	B4	Federal Tier 2 Bin 4	GGMXV01.4099	midsize car	6	26	39	31	7	Yes	291
CHEVROLET Cruze Limited Eco	1.4	4	Man-6	2WD	Gasoline	CA	B4	Federal Tier 2 Bin 4	GGMXV01.4099	midsize car	6	28	42	33	8	Yes	269
CHEVROLET Cruze Limited Eco	1.4	4	Man-6	2WD	Gasoline	FA	B4	Federal Tier 2 Bin 4	GGMXV01.4099	midsize car	6	28	42	33	8	Yes	269
CHEVROLET Equinox	2.4	4	Auto-6	2WD	Ethanol/Gas	CA	B4	Federal Tier 2 Bin 4	GGMXT02.4151	small SUV	6	15/22	22/32	18/26	6	No	355/344
CHEVROLET Equinox	2.4	4	Auto-6	2WD	Ethanol/Gas	FA	B4	Federal Tier 2 Bin 4	GGMXT02.4151	small SUV	6	15/22	22/32	18/26	6	No	355/344
CHEVROLET Equinox	2.4	4	Auto-6	2WD	Gasoline	CA	B4	Federal Tier 2 Bin 4	GGMXJ02.4199	small SUV	6	22	32	26	6	No	344
CHEVROLET Equinox	2.4	4	Auto-6	2WD	Gasoline	FA	B4	Federal Tier 2 Bin 4	GGMXJ02.4199	small SUV	6	22	32	26	6	No	344
CHEVROLET Equinox	2.4	4	Auto-6	4WD	Ethanol/Gas	CA	B4	Federal Tier 2 Bin 4	GGMXT02.4151	small SUV	6	14/20	20/29	17/23	5	No	379/379
CHEVROLET Equinox	2.4	4	Auto-6	4WD	Ethanol/Gas	FA	B4	Federal Tier 2 Bin 4	GGMXT02.4151	small SUV	6	14/20	20/29	17/23	5	No	379/379
CHEVROLET Equinox	2.4	4	Auto-6	4WD	Gasoline	CA	B4	Federal Tier 2 Bin 4	GGMXJ02.4199	small SUV	6	20	29	23	5	No	379
CHEVROLET Equinox	2.4	4	Auto-6	4WD	Gasoline	FA	B4	Federal Tier 2 Bin 4	GGMXJ02.4199	small SUV	6	20	29	23	5	No	379
CHEVROLET Equinox	3.6	6	Auto-6	2WD	Gasoline	CA	B4	Federal Tier 2 Bin 4	GGMXJ03.6165	small SUV	6	17	24	20	4	No	459
CHEVROLET Equinox	3.6	6	Auto-6	2WD	Gasoline	FA	B4	Federal Tier 2 Bin 4	GGMXJ03.6165	small SUV	6	17	24	20	4	No	459
CHEVROLET Equinox	3.6	6	Auto-6	4WD	Gasoline	CA	B4	Federal Tier 2 Bin 4	GGMXJ03.6165	small SUV	6	16	23	18	4	No	482
CHEVROLET Equinox	3.6	6	Auto-6	4WD	Gasoline	FA	B4	Federal Tier 2 Bin 4	GGMXJ03.6165	small SUV	6	16	23	18	4	No	482
CHEVROLET Express 2500	6	8	Auto-6	2WD	Gasoline	CA	B8	Federal Tier 2 Bin 8	GGMXT06.0396	van	2	11	16	13	1	No	710
CHEVROLET Express 2500	6	8	Auto-6	2WD	Gasoline	FA	B8	Federal Tier 2 Bin 8	GGMXT06.0396	van	2	11	16	13	1	No	710
CHEVROLET Express 3500	6	8	Auto-6	2WD	Gasoline	CA	B8	Federal Tier 2 Bin 8	GGMXT06.0396	van	2	11	16	12	1	No	718
CHEVROLET Express 3500	6	8	Auto-6	2WD	Gasoline	FA	B8	Federal Tier 2 Bin 8	GGMXT06.0396	van	2	11	16	12	1	No	718
CHEVROLET Impala	2.5	4	SemiAuto-6	2WD	Gasoline	CA	B4	Federal Tier 2 Bin 4	GGMXV02.5001	large car	6	22	31	25	6	No	354
CHEVROLET Impala	2.5	4	SemiAuto-6	2WD	Gasoline	FA	B4	Federal Tier 2 Bin 4	GGMXV02.5001	large car	6	22	31	25	6	No	354
CHEVROLET Impala	3.6	6	SemiAuto-6	2WD	Ethanol/Gas	CA	B4	Federal Tier 2 Bin 4	GGMXV03.6166	large car	6	14/19	20/29	16/22	5	No	384/399
CHEVROLET Impala	3.6	6	SemiAuto-6	2WD	Ethanol/Gas	FA	B4	Federal Tier 2 Bin 4	GGMXV03.6166	large car	6	14/19	20/29	16/22	5	No	384/399
CHEVROLET Impala	3.6	6	SemiAuto-6	2WD	Gasoline	CA	L3SULEV30	California LEV-III SULEV30	GGMXV03.6048	large car	8	18	28	22	5	No	408
CHEVROLET Impala	3.6	6	SemiAuto-6	2WD	Gasoline	FA	T3B85	Federal Tier 3 Transitional Bin 85	GGMXV03.6048	large car	7	18	28	22	5	No	408
CHEVROLET Impala Dual Fuel	3.6	6	SemiAuto-6	2WD	CNG/Gasoline	FA	B4	Federal Tier 2 Bin 4	GQTMV03.6166	midsize car	6	16/17	24/25	19/20	6	No	343/437
CHEVROLET Impala Dual Fuel	3.6	6	SemiAuto-6	2WD	CNG/Gasoline	CA	U2	California LEV-II ULEV	GQTMV03.6166	midsize car	6	16/17	24/25	19/20	6	No	343/437
CHEVROLET Impala Limited	3.6	6	Auto-6	2WD	Ethanol/Gas	CA	B4	Federal Tier 2 Bin 4	GGMXV03.6166	large car	6	13/18	22/30	16/22	5	No	379/408
CHEVROLET Impala Limited	3.6	6	Auto-6	2WD	Ethanol/Gas	FA	B4	Federal Tier 2 Bin 4	GGMXV03.6166	large car	6	13/18	22/30	16/22	5	No	379/408
CHEVROLET Malibu	1.5	4	Auto-6	2WD	Gasoline	CA	B4	Federal Tier 2 Bin 4	GGMXV01.5002	midsize car	6	27	37	31	7	Yes	289
CHEVROLET Malibu	1.5	4	Auto-6	2WD	Gasoline	FA	B4	Federal Tier 2 Bin 4	GGMXV01.5002	midsize car	6	27	37	31	7	Yes	289
CHEVROLET Malibu	2	4	SemiAuto-8	2WD	Gasoline	CA	B4	Federal Tier 2 Bin 4	GGMXV02.0031	midsize car	6	22	33	26	6	No	339
CHEVROLET Malibu	2	4	SemiAuto-8	2WD	Gasoline	FA	B4	Federal Tier 2 Bin 4	GGMXV02.0031	midsize car	6	22	33	26	6	No	339
CHEVROLET Malibu Limited	2.5	4	SemiAuto-6	2WD	Gasoline	CA	B4	Federal Tier 2 Bin 4	GGMXV02.5001	midsize car	6	24	34	27	6	No	326
CHEVROLET Malibu Limited	2.5	4	SemiAuto-6	2WD	Gasoline	FA	B4	Federal Tier 2 Bin 4	GGMXV02.5001	midsize car	6	24	34	27	6	No	326
CHEVROLET SS	6.2	8	Man-6	2WD	Gasoline	FA	B5	Federal Tier 2 Bin 5	GGMXV06.2088	large car	5	14	22	17	3	No	520
CHEVROLET SS	6.2	8	Man-6	2WD	Gasoline	CA	L2	California LEV-II LEV	GGMXV06.2088	large car	5	14	22	17	3	No	520
CHEVROLET SS	6.2	8	SemiAuto-6	2WD	Gasoline	FA	B5	Federal Tier 2 Bin 5	GGMXV06.2088	large car	5	14	20	16	3	No	558
CHEVROLET SS	6.2	8	SemiAuto-6	2WD	Gasoline	CA	L2	California LEV-II LEV	GGMXV06.2088	large car	5	14	20	16	3	No	558
CHEVROLET Silverado 15	4.3	6	Auto-6	2WD	Ethanol/Gas	CA	B4	Federal Tier 2 Bin 4	GGMXT04.3187	pickup	6	12/18	16/24	14/20	4	No	457/449
CHEVROLET Silverado 15	4.3	6	Auto-6	2WD	Ethanol/Gas	FA	B4	Federal Tier 2 Bin 4	GGMXT04.3187	pickup	6	12/18	16/24	14/20	4	No	457/449
CHEVROLET Silverado 15	4.3	6	Auto-6	4WD	Ethanol/Gas	CA	B4	Federal Tier 2 Bin 4	GGMXT04.3187	pickup	6	12/17	15/22	13/19	4	No	484/475
CHEVROLET Silverado 15	4.3	6	Auto-6	4WD	Ethanol/Gas	FA	B4	Federal Tier 2 Bin 4	GGMXT04.3187	pickup	6	12/17	15/22	13/19	4	No	484/475
CHEVROLET Silverado 15	5.3	8	Auto-6	2WD	Ethanol/Gas	FA	B5	Federal Tier 2 Bin 5	GGMXT05.3382	pickup	5	12/16	17/23	14/19	4	No	461/480
CHEVROLET Silverado 15	5.3	8	Auto-6	2WD	Ethanol/Gas	CA	L3ULEV125	California LEV-III ULEV125	GGMXT05.3382	pickup	6	12/16	17/23	14/19	4	No	461/480
CHEVROLET Silverado 15	5.3	8	Auto-6	2WD	Gasoline	FA	B5	Federal Tier 2 Bin 5	GGMXT05.3384	pickup	5	16	23	19	4	No	480
CHEVROLET Silverado 15	5.3	8	Auto-6	2WD	Gasoline	FA	B5	Federal Tier 2 Bin 5	GGMXT05.3384	special purpose	5	15	20	17	3	No	523
CHEVROLET Silverado 15	5.3	8	Auto-6	2WD	Gasoline	CA	L3ULEV125	California LEV-III ULEV125	GGMXT05.3384	pickup	6	16	23	19	4	No	480
CHEVROLET Silverado 15	5.3	8	Auto-6	2WD	Gasoline	CA	L3ULEV125	California LEV-III ULEV125	GGMXT05.3384	special purpose	6	15	20	17	3	No	523
CHEVROLET Silverado 15	5.3	8	Auto-6	4WD	Ethanol/Gas	FA	B5	Federal Tier 2 Bin 5	GGMXT05.3382	pickup	5	11/16	14/22	12/18	4	No	524/525
CHEVROLET Silverado 15	5.3	8	Auto-6	4WD	Ethanol/Gas	CA	L3ULEV125	California LEV-III ULEV125	GGMXT05.3382	pickup	6	11/16	14/22	12/18	4	No	524/525
CHEVROLET Silverado 15	5.3	8	Auto-6	4WD	Gasoline	FA	B5	Federal Tier 2 Bin 5	GGMXT05.3384	pickup	5	16	22	18	4	No	494
CHEVROLET Silverado 15	5.3	8	Auto-6	4WD	Gasoline	FA	B5	Federal Tier 2 Bin 5	GGMXT05.3384	special purpose	5	15	19	17	3	No	523
CHEVROLET Silverado 15	5.3	8	Auto-6	4WD	Gasoline	CA	L3ULEV125	California LEV-III ULEV125	GGMXT05.3384	pickup	6	16	22	18	4	No	494
CHEVROLET Silverado 15	5.3	8	Auto-6	4WD	Gasoline	CA	L3ULEV125	California LEV-III ULEV125	GGMXT05.3384	special purpose	6	15	19	17	3	No	523
CHEVROLET Silverado 15	5.3	8	Auto-8	2WD	Gasoline	FA	B5	Federal Tier 2 Bin 5	GGMXT05.3384	pickup	5	16	22	18	4	No	493
CHEVROLET Silverado 15	5.3	8	Auto-8	2WD	Gasoline	CA	L3ULEV125	California LEV-III ULEV125	GGMXT05.3384	pickup	6	16	22	18	4	No	493
CHEVROLET Silverado 15	5.3	8	Auto-8	4WD	Gasoline	FA	B5	Federal Tier 2 Bin 5	GGMXT05.3384	pickup	5	15	21	17	3	No	523
CHEVROLET Silverado 15	5.3	8	Auto-8	4WD	Gasoline	CA	L3ULEV125	California LEV-III ULEV125	GGMXT05.3384	pickup	6	15	21	17	3	No	523
CHEVROLET Silverado 15	6.2	8	Auto-8	2WD	Gasoline	CA	B4	Federal Tier 2 Bin 4	GGMXT06.2374	pickup	6	15	21	17	3	No	527
CHEVROLET Silverado 15	6.2	8	Auto-8	2WD	Gasoline	FA	B4	Federal Tier 2 Bin 4	GGMXT06.2374	pickup	6	15	21	17	3	No	527
CHEVROLET Silverado 15	6.2	8	Auto-8	4WD	Gasoline	CA	B4	Federal Tier 2 Bin 4	GGMXT06.2374	pickup	6	15	21	17	3	No	521
CHEVROLET Silverado 15	6.2	8	Auto-8	4WD	Gasoline	FA	B4	Federal Tier 2 Bin 4	GGMXT06.2374	pickup	6	15	21	17	3	No	521
CHEVROLET Sonic	1.4	4	Man-6	2WD	Gasoline	CA	B4	Federal Tier 2 Bin 4	GGMXV01.4099	small car	6	29	40	33	8	Yes	271
CHEVROLET Sonic	1.4	4	Man-6	2WD	Gasoline	FA	B4	Federal Tier 2 Bin 4	GGMXV01.4099	small car	6	29	40	33	8	Yes	271
CHEVROLET Sonic	1.4	4	SemiAuto-6	2WD	Gasoline	CA	B4	Federal Tier 2 Bin 4	GGMXV01.4099	small car	6	27	37	31	7	Yes	291
CHEVROLET Sonic	1.4	4	SemiAuto-6	2WD	Gasoline	FA	B4	Federal Tier 2 Bin 4	GGMXV01.4099	small car	6	27	37	31	7	Yes	291
CHEVROLET Sonic	1.8	4	Man-5	2WD	Gasoline	CA	B4	Federal Tier 2 Bin 4	GGMXV01.8021	small car	6	26	35	30	7	Yes	301
CHEVROLET Sonic	1.8	4	Man-5	2WD	Gasoline	FA	B4	Federal Tier 2 Bin 4	GGMXV01.8021	small car	6	26	35	30	7	Yes	301
CHEVROLET Sonic	1.8	4	Man-5	2WD	Gasoline	CA	L3SULEV30	California LEV-III SULEV30	GGMXV01.8031	small car	8	26	35	30	7	Yes	301
CHEVROLET Sonic	1.8	4	Man-5	2WD	Gasoline	FA	T3B85	Federal Tier 3 Transitional Bin 85	GGMXV01.8031	small car	7	26	35	30	7	Yes	301
CHEVROLET Sonic	1.8	4	SemiAuto-6	2WD	Gasoline	CA	B4	Federal Tier 2 Bin 4	GGMXV01.8021	small car	6	24	35	28	7	Yes	313
CHEVROLET Sonic	1.8	4	SemiAuto-6	2WD	Gasoline	FA	B4	Federal Tier 2 Bin 4	GGMXV01.8021	small car	6	24	35	28	7	Yes	313
CHEVROLET Sonic	1.8	4	SemiAuto-6	2WD	Gasoline	CA	L3SULEV30	California LEV-III SULEV30	GGMXV01.8031	small car	8	24	35	28	7	Yes	313
CHEVROLET Sonic	1.8	4	SemiAuto-6	2WD	Gasoline	FA	T3B85	Federal Tier 3 Transitional Bin 85	GGMXV01.8031	small car	7	24	35	28	7	Yes	313
CHEVROLET Sonic 5	1.4	4	Man-6	2WD	Gasoline	CA	B4	Federal Tier 2 Bin 4	GGMXV01.4099	station wagon	6	29	40	33	8	Yes	271
CHEVROLET Sonic 5	1.4	4	Man-6	2WD	Gasoline	FA	B4	Federal Tier 2 Bin 4	GGMXV01.4099	station wagon	6	29	40	33	8	Yes	271
CHEVROLET Sonic 5	1.4	4	SemiAuto-6	2WD	Gasoline	CA	B4	Federal Tier 2 Bin 4	GGMXV01.4099	station wagon	6	27	37	31	7	Yes	291
CHEVROLET Sonic 5	1.4	4	SemiAuto-6	2WD	Gasoline	FA	B4	Federal Tier 2 Bin 4	GGMXV01.4099	station wagon	6	27	37	31	7	Yes	291
CHEVROLET Sonic 5	1.8	4	Man-5	2WD	Gasoline	CA	B4	Federal Tier 2 Bin 4	GGMXV01.8021	station wagon	6	26	35	30	7	Yes	301
CHEVROLET Sonic 5	1.8	4	Man-5	2WD	Gasoline	FA	B4	Federal Tier 2 Bin 4	GGMXV01.8021	station wagon	6	26	35	30	7	Yes	301
CHEVROLET Sonic 5	1.8	4	Man-5	2WD	Gasoline	CA	L3SULEV30	California LEV-III SULEV30	GGMXV01.8031	station wagon	8	26	35	30	7	Yes	301
CHEVROLET Sonic 5	1.8	4	Man-5	2WD	Gasoline	FA	T3B85	Federal Tier 3 Transitional Bin 85	GGMXV01.8031	station wagon	7	26	35	30	7	Yes	301
CHEVROLET Sonic 5	1.8	4	SemiAuto-6	2WD	Gasoline	CA	B4	Federal Tier 2 Bin 4	GGMXV01.8021	station wagon	6	24	35	28	7	Yes	313
CHEVROLET Sonic 5	1.8	4	SemiAuto-6	2WD	Gasoline	FA	B4	Federal Tier 2 Bin 4	GGMXV01.8021	station wagon	6	24	35	28	7	Yes	313
CHEVROLET Sonic 5	1.8	4	SemiAuto-6	2WD	Gasoline	CA	L3SULEV30	California LEV-III SULEV30	GGMXV01.8031	station wagon	8	24	35	28	7	Yes	313
CHEVROLET Sonic 5	1.8	4	SemiAuto-6	2WD	Gasoline	FA	T3B85	Federal Tier 3 Transitional Bin 85	GGMXV01.8031	station wagon	7	24	35	28	7	Yes	313
CHEVROLET Sonic 5 RS	1.4	4	Man-6	2WD	Gasoline	CA	B4	Federal Tier 2 Bin 4	GGMXV01.4099	midsize car	6	27	34	30	7	Yes	298
CHEVROLET Sonic 5 RS	1.4	4	Man-6	2WD	Gasoline	FA	B4	Federal Tier 2 Bin 4	GGMXV01.4099	midsize car	6	27	34	30	7	Yes	298
CHEVROLET Sonic 5 RS	1.4	4	SemiAuto-6	2WD	Gasoline	CA	B4	Federal Tier 2 Bin 4	GGMXV01.4099	midsize car	6	25	33	28	7	Yes	317
CHEVROLET Sonic 5 RS	1.4	4	SemiAuto-6	2WD	Gasoline	FA	B4	Federal Tier 2 Bin 4	GGMXV01.4099	midsize car	6	25	33	28	7	Yes	317
CHEVROLET Sonic RS	1.4	4	Man-6	2WD	Gasoline	CA	B4	Federal Tier 2 Bin 4	GGMXV01.4099	small car	6	27	34	30	7	Yes	298
CHEVROLET Sonic RS	1.4	4	Man-6	2WD	Gasoline	FA	B4	Federal Tier 2 Bin 4	GGMXV01.4099	small car	6	27	34	30	7	Yes	298
CHEVROLET Sonic RS	1.4	4	SemiAuto-6	2WD	Gasoline	CA	B4	Federal Tier 2 Bin 4	GGMXV01.4099	small car	6	25	33	28	7	Yes	317
CHEVROLET Sonic RS	1.4	4	SemiAuto-6	2WD	Gasoline	FA	B4	Federal Tier 2 Bin 4	GGMXV01.4099	small car	6	25	33	28	7	Yes	317
CHEVROLET Spark	1.4	4	CVT	2WD	Gasoline	CA	L3ULEV70	California LEV-III ULEV70	GGMXV01.4050	small car	7	31	41	35	8	Yes	253
CHEVROLET Spark	1.4	4	CVT	2WD	Gasoline	FA	T3B70	Federal Tier 3 Bin 70	GGMXV01.4050	small car	7	31	41	35	8	Yes	253
CHEVROLET Spark	1.4	4	Man-5	2WD	Gasoline	CA	L3ULEV70	California LEV-III ULEV70	GGMXV01.4050	small car	7	30	41	34	8	Yes	260
CHEVROLET Spark	1.4	4	Man-5	2WD	Gasoline	FA	T3B70	Federal Tier 3 Bin 70	GGMXV01.4050	small car	7	30	41	34	8	Yes	260
CHEVROLET Spark EV	N/A	N/A	Auto-1	2WD	Electricity	FA	B1	Federal Tier 2 Bin 1	GGMXV00.0001	small car	10	128	109	119	10	Elite	0
CHEVROLET Spark EV	N/A	N/A	Auto-1	2WD	Electricity	CA	ZEV	California ZEV	GGMXV00.0001	small car	10	128	109	119	10	Elite	0
CHEVROLET Suburban 1500	5.3	8	Auto-6	2WD	Ethanol/Gas	FA	B5	Federal Tier 2 Bin 5	GGMXT05.3382	standard SUV	5	11/16	17/23	13/18	4	No	464/489
CHEVROLET Suburban 1500	5.3	8	Auto-6	2WD	Ethanol/Gas	CA	L3ULEV125	California LEV-III ULEV125	GGMXT05.3382	standard SUV	6	11/16	17/23	13/18	4	No	464/489
CHEVROLET Suburban 1500	5.3	8	Auto-6	2WD	Gasoline	FA	B5	Federal Tier 2 Bin 5	GGMXT05.3384	standard SUV	5	16	23	18	4	No	481
CHEVROLET Suburban 1500	5.3	8	Auto-6	2WD	Gasoline	CA	L3ULEV125	California LEV-III ULEV125	GGMXT05.3384	standard SUV	6	16	23	18	4	No	481
